Subject,Median_Accuracy,Mean_Accuracy,N_Folds,N_Observations
sub-1,0.9347,0.9013,2,22
sub-2,0.5210,0.5669,5,48
sub-3,0.6552,0.7221,2,19
sub-4,0.9779,0.9410,5,43
sub-5,0.7871,0.7892,7,48
sub-6,0.3168,0.3296,7,51
sub-7,0.9557,0.9157,4,26
sub-8,0.9729,0.9449,7,48
sub-9,0.8411,0.7909,2,10
sub-10,0.4527,0.5197,2,24
sub-11,0.9005,0.8430,6,65
sub-12,0.6633,0.7201,2,16
sub-13,0.7587,0.7695,5,46
sub-14,0.9159,0.9042,5,52
sub-15,0.7424,0.7252,7,68
sub-16,0.9573,0.9216,3,26
sub-17,0.9322,0.9264,5,54
sub-18,0.8573,0.8746,4,34
sub-19,0.9633,0.8479,3,21
sub-20,0.8004,0.7992,3,33
sub-21,0.9704,0.9124,3,33
sub-22,0.7033,0.7418,2,12
sub-23,0.7280,0.7364,2,19
sub-24,0.9327,0.9176,3,29
sub-25,0.2069,0.2199,3,24
sub-26,0.8809,0.8680,4,41
sub-27,0.9461,0.9269,4,45
sub-28,0.9254,0.8348,7,62
sub-29,0.7527,0.7524,3,23
sub-30,0.9345,0.8892,4,46
sub-31,0.3618,0.4348,2,16
sub-32,0.9603,0.8984,6,64
sub-33,0.8149,0.7978,3,29
sub-34,0.8237,0.8543,3,30
sub-35,0.8934,0.8738,7,67
sub-36,0.5270,0.5504,8,74
sub-37,0.6088,0.6160,5,47
sub-38,0.5982,0.5322,6,49
sub-39,0.7166,0.6784,4,31
sub-40,0.6909,0.6945,5,38
sub-41,0.6389,0.5809,8,85
sub-42,0.7829,0.7473,4,29
sub-43,0.1903,0.2156,5,52
sub-44,0.5771,0.5866,11,91
sub-45,0.3842,0.3571,8,71
sub-46,0.6688,0.6837,2,17
sub-47,0.6824,0.6532,5,43
sub-48,0.7580,0.7465,4,44
sub-49,0.8420,0.8417,6,49
sub-50,0.2871,0.2423,2,16
sub-51,0.3731,0.3744,6,42
sub-52,0.4554,0.4771,2,24
sub-53,0.6389,0.6090,4,38
sub-54,0.7698,0.7351,6,45
sub-55,0.9004,0.8182,5,46
sub-56,0.7994,0.7765,3,29
sub-57,0.8193,0.7587,7,64
sub-58,0.7456,0.6982,5,47
sub-59,0.0533,0.1134,4,45
sub-60,0.5000,0.4197,10,102
sub-61,0.2804,0.2716,6,57
sub-62,0.8629,0.8530,3,31
sub-63,0.4368,0.4019,3,25
sub-64,0.9416,0.9301,6,60
sub-65,0.5101,0.4558,5,51
